sale_id,customer_id,product_id,quantity,total,date
S001,C001,P001,1,55000.0,2026-07-20 10:15:00
S002,C002,P002,2,2400.0,2026-07-20 14:30:00
S003,C003,P003,3,1800.0,2026-07-21 11:20:00
S004,C004,P004,1,3500.0,2026-07-21 16:10:00
S005,C005,P005,2,5000.0,2026-07-22 12:45:00
S006,C001,P007,1,1800.0,2026-07-23 10:30:00
S007,C006,P006,1,4200.0,2026-07-23 15:20:00
S008,C003,P008,2,17000.0,2026-07-24 13:05:00
S009,C007,P009,1,15000.0,2026-07-25 11:40:00
S010,C008,P010,1,6500.0,2026-07-25 16:25:00
S011,C009,P011,5,4500.0,2026-07-26 10:50:00
S012,C010,P012,2,6400.0,2026-07-27 14:15:00
S013,C011,P013,1,2800.0,2026-07-28 09:45:00
S014,C012,P014,1,12500.0,2026-07-28 17:10:00
S015,C013,P015,2,3000.0,2026-07-29 12:30:00
S016,C014,P016,6,2700.0,2026-07-30 11:15:00
S017,C015,P017,1,3000.0,2026-07-30 15:45:00
S018,C002,P018,3,2250.0,2026-07-31 10:20:00
S019,C004,P019,2,4400.0,2026-08-01 13:35:00
S020,C006,P020,1,4800.0,2026-08-02 16:05:00
S021,C001,P002,3,3600.0,2026-08-04 10:40:00
S022,C005,P005,1,2500.0,2026-08-06 14:20:00
S023,C009,P011,4,3600.0,2026-08-08 11:50:00
S024,C010,P009,2,30000.0,2026-08-10 15:10:00
S025,C003,P003,2,1200.0,2026-08-12 12:25:00
